"UserAgent","Category","Severity"
"AADInternals","Offensive Tool","Red"
"agentaxios","Password Spraying Attack,AiTM","Red"
"axios/","Password Spraying Attack,AiTM","Red"
"azurehound","Offensive Tool","Red"
"AzurePowershell/","Offensive Tool","Yellow"
"BAV2ROPC","Password Spraying Attack","Red"
"fasthttp","Password Spraying Attack","Red"
"Go-http-client/","Password Spraying Attack, AiTM","Red"
"go-resty/","Password Spraying Attack, AiTM","Red"
"GuzzleHttp/","Password Spraying Attack, AiTM","Red"
"node-fetch/","Password Spraying Attack, AiTM","Red"
"okhttp/","Password Spraying Attack, AiTM","Red"
"PostmanRuntime/","Offensive Tool","Yellow"
"PowerShell/5.1","Offensive Tool","Yellow"
"PowerShell/7","Offensive Tool","Yellow"
"python-requests","Offensive Tool","Yellow"
"python/","Offensive Tool","Yellow"
